AQW00061705         863C
USC00042941         718R
USC00043083         771R
USC00043113         751R
USC00043157         603S
USC00043161         583R
USC00043191         631R
USC00043244         693R
USC00043256         770R
USC00043261         784S
USC00043384         698Q
USC00043392         735Q
USC00043417         748S
USC00043463         699S
USC00043489         884R
USC00043551         577S
USC00043573         681R
USC00043578         722C
USC00043647         611R
USC00043669         696R
USC00043710         792S
USC00043714         624S
USC00043747         758S
USC00043824         676S
USC00043855         852S
USC00043875         741S
USC00043882         687Q
USC00043896         821R
USC00043914         757S
USC00043939         648S
USC00044025         718S
USC00044176         563R
USC00044211         691S
USC00044223         881S
USC00044232         766S
USC00044259         895R
USC00044278         800R
USC00044297         875S
USC00044303         783Q
USC00044374         609S
USC00044405         796Q
USC00044412         684Q
USC00044500         698S
USC00044523         772R
USC00044534         775Q
USC00044555         755S
USC00044577         594R
USC00044647         732R
USC00044671         616S
USC00044712         761S
USC00044713         612R
USC00044735         762R
USC00044838         614S
USC00044881         614R
USC00044890         779C
USC00044957         781R
USC00044997         729S
USC00045026         554S
USC00045032         748S
USC00045064         684S
USC00045118         762S
USC00045120         747R
USC00045123         716S
USC00045233         756R
USC00045280         565R
USC00045311         581S
USC00045360         748S
USC00045378         729C
USC00045385         766R
USC00045449         663R
USC00045502         905R
USC00045532         761S
USC00045679         597S
USC00045721         712S
USC00045756         755R
USC00045790         794R
USC00045795         634S
USC00045802         624R
USC00045853         730Q
USC00045866         674R
USC00045892         680Q
USC00045915         689S
USC00045933         609S
USC00045968         644Q
USC00046006         679R
USC00046074         719S
USC00046136         669S
USC00046144         686S
USC00046154         761S
USC00046161         772R
USC00046168         802S
USC00046172         753R
USC00046174         750R
USC00046175         669R
USC00046252         744Q
USC00046263         774R
USC00046336         670R
USC00046370         675Q
USC00046377         661R
USC00046386         883Q
USC00046399         771R
USC00046498         604R
USC00046506         750S
USC00046508         694R
USC00046521         753R
USC00046569         691R
USC00046572         706R
USC00046599         651R
USC00046610         719R
USC00046624         782S
USC00046635         891S
USC00046646         704R
USC00046657         651S
USC00046685         710S
USC00046699         867S
USC00046719         785S
USC00046730         761S
USC00046773         761R
USC00046826         706S
USC00046926         770S
USC00046943         641R
USC00046960         731R
USC00046962         710R
USC00047050         781R
USC00047077         792R
USC00047085         619S
USC00047109         735S
USC00047150         750S
USC00047195         664R
USC00047228         768R
USC00047253         740S
USC00047306         796S
USC00047339         706R
USC00047404         671S
USC00047414         667R
USC00047470         809R
USC00047473         796S
USC00047641         577R
USC00047643         739S
USC00047668         680R
USC00047689         706R
USC00047723         812R
USC00047741         673Q
USC00047767         604R
USC00047785         759R
USC00047807         647R
USC00047813         804R
USC00047821         708S
USC00047836         792Q
USC00047846         743R
USC00047851         690S
USC00047874         804R
USC00047880         681R
USC00047888         762S
USC00047902         699R
USC00047916         699C
USC00047953         663S
USC00047957         752R
USC00047965         722S
USC00048025         702Q
USC00048045         646S
USC00048135         727S
USC00048163         631R
USC00048200         832Q
USC00048207         631R
USC00048218         635Q
USC00048273         637R
USC00048351         725S
USC00048353         718R
USC00048380         605R
USC00048490         670Q
USC00048560         760S
USC00048587         748R
USC00048606         642S
USC00048655         826R
USC00048702         638R
USC00048713         718R
USC00048752         761R
USC00048758         561S
USC00048826         669R
USC00048829         677Q
USC00048873         603R
USC00048904         743Q
USC00048917         759S
USC00048928         703R
USC00048999         751Q
USC00049001         744R
USC00049026         695R
USC00049035         821R
USC00049043         602S
USC00049053         622R
USC00049073         744R
USC00049087         738R
USC00049099         815R
USC00049102         852Q
USC00049105         544R
USC00049111         738R
USC00049122         723S
USC00049152         718S
USC00049200         763S
USC00049325         789R
USC00049351         617Q
USC00049367         750S
USC00049378         730S
USC00049440         738R
USC00049452         793S
USC00049473         678S
USC00049490         706R
USC00049621         736S
USC00049671         733R
USC00049684         667S
USC00049694         725Q
USC00049699         775R
USC00049742         773C
USC00049781         754R
USC00049785         802Q
USC00049792         750R
USC00049822         631R
USC00049847         771Q
USC00049855         674R
USC00049859         736Q
USC00049866         675S
USC00050109         635S
USC00050128         598Q
USC00050185         509R
USC00050214         629S
USC00050263         534S
USC00050301         650R
USC00050306         664Q
USC00050372         559S
USC00050454         566S
USC00050754         577Q
USC00050776         616R
USC00050797         562R
USC00050825         437Q
USC00050834         654R
USC00050848         654S
USC00050945         633S
USC00050950         655S
USC00051017         632R
USC00051018         609Q
USC00051060         567R
USC00051071         596S
USC00051121         651R
USC00051179         650S
USC00051186         490S
USC00051268         695S
USC00051294         670R
USC00051401         632S
USC00051440         653R
USC00051443         595R
USC00051458         579S
USC00051528         624S
USC00051539         681R
USC00051547         651R
USC00051564         672S
USC00051609         595S
USC00051620         644Q
USC00051660         430S
USC00051681         507R
USC00051713         554S
USC00051741         623R
USC00051743         624R
USC00051772         647S
USC00051886         647S
USC00051932         577R
USC00051939         570R
USC00051948         552Q
USC00051959         499S
USC00051964         574S
USC00051977         526Q
USC00051996         674R
USC00052184         558S
USC00052192         649R
USC00052196         664R
USC00052223         672R
USC00052281         512S
USC00052286         621S
USC00052342         610Q
USC00052432         647R
USC00052441         618R
USC00052446         666R
USC00052631         615R
USC00052759         577R
USC00052761         541Q
USC00052790         598S
USC00052816         501Q
USC00052932         651R
USC00052947         639R
USC00052965         570R
USC00053005         637C
USC00053006         629R
USC00053016         569R
USC00053038         630R
USC00053116         527R
USC00053146         662S
USC00053246         686R
USC00053258         618Q
USC00053261         532R
USC00053307         614R
USC00053359         612R
USC00053387         562Q
USC00053446         508Q
USC00053489         666S
USC00053496         534C
USC00053500         527S
USC00053530         537S
USC00053541         570S
USC00053553         689S
USC00053592         526R
USC00053629         575Q
USC00053662         537R
USC00053867         581C
USC00053951         531R
USC00054054         550R
USC00054076         687S
USC00054082         635S
USC00054135         488R
USC00054172         651R
USC00054242         641R
USC00054250         647R
USC00054254         629Q
USC00054380         651R
USC00054388         690R
USC00054413         659R
USC00054444         653S
USC00054452         650S
USC00054538         682R
USC00054546         680R
USC00054603         674S
USC00054606         667R
USC00054664         542R
USC00054724         704R
USC00054726         684S
USC00054734         551S
USC00054742         537S
USC00054762         662S
USC00054770         690S
USC00054834         704S
USC00054934         564S
USC00054945         628S
USC00055025         638R
USC00055056         645R
USC00055116         656R
USC00055236         640R
USC00055322         596S
USC00055327         603R
USC00055402         639R
USC00055414         541R
USC00055422         609R
USC00055427         622R
USC00055446         596R
USC00055484         584R
USC00055507         551R
USC00055531         611C
USC00055706         585R
USC00055722         632S
USC00055734         594R
USC00055797         446R
USC00055922         628R
USC00055934         576R
USC00055970         611R
USC00055984         678R
USC00056012         606S
USC00056023         636R
USC00056040         529Q
USC00056131         687R
USC00056136         676S
USC00056203         547R
USC00056205         565Q
USC00056258         613R
USC00056259         587Q
USC00056266         655S
USC00056306         641S
USC00056318         669R
USC00056320         671Q
USC00056323         649R
USC00056326         644R
USC00056520         606Q
USC00056765         690S
USC00056816         624R
USC00056832         617S
USC00056970         542R
USC00056977         531R
USC00057017         542R
USC00057020         601R
USC00057031         666R
USC00057050         532R
USC00057167         714S
USC00057249         630R
USC00057287         621R
USC00057296         539R
USC00057309         528S
USC00057317         595R
USC00057337         573R
USC00057370         624R
USC00057430         599R
USC00057450         515Q
USC00057515         628S
USC00057519         646Q
USC00057557         636R
USC00057560         635R
USC00057572         586R
USC00057582         666Q
USC00057656         519R
USC00057848         524R
USC00057866         691R
USC00057936         545S
USC00057950         656R
USC00058008         651R
USC00058022         630R
USC00058064         503S
USC00058157         689S
USC00058184         496S
USC00058204         536S
USC00058290         685R
USC00058429         666S
USC00058436         653R
USC00058501         517R
USC00058560         697S
USC00058575         512R
USC00058582         579R
USC00058690         560R
USC00058756         514S
USC00058781         658S
USC00058793         685S
USC00058839         641S
USC00058860         580Q
USC00058931         585R
USC00058995         654S
USC00059058         653Q
USC00059060         655Q
USC00059096         526R
USC00059181         446R
USC00059243         646R
USC00059265         529S
USC00059275         639R
USC00059278         608Q
USC00059295         653S
USC00060227         585R
USC00060808         610Q
USC00060961         605R
USC00060973         603S
USC00061762         612R
USC00062658         574S
USC00063207         603R
USC00063420         587Q
USC00064488         601R
USC00064767         611R
USC00065077         619R
USC00065445         544S
USC00065910         611S
USC00067373         562R
USC00067958         588Q
USC00067970         632R
USC00068138         574R
USC00069388         593R
USC00069568         602R
USC00071200         641Q
USC00072730         663S
USC00073570         663R
USC00073595         650R
USC00075320         666S
USC00075915         655R
USC00076410         666R
USC00079605         626S
USC00080228         838S
USC00080236         843S
USC00080369         846S
USC00080414         829Q
USC00080478         839S
USC00080598         798Q
USC00080611         854R
USC00080737         838Q
USC00080945         823S
USC00080992         845Q
USC00081046         831S
USC00081163         825R
USC00081276         830S
USC00081306         821R
USC00081544         796R
USC00081641         828R
USC00081651         837Q
USC00081654         836R
USC00081795         827P
USC00081858         834R
USC00081978         803R
USC00082008         796R
USC00082046         838Q
USC00082150         798Q
USC00082220         782R
USC00082229         811R
USC00082298         842S
USC00082418         830R
USC00082441         823R
USC00082850         850R
USC00082915         800S
USC00082944         776S
USC00083020         842R
USC00083026         831Q
USC00083137         831R
USC00083153         832Q
USC00083163         833S
USC00083168         834R
USC00083207         817S
USC00083322         808R
USC00083470         796S
USC00083874         789S
USC00083909         826S
USC00083956         811S
USC00084050         829Q
USC00084095         841R
USC00084210         855R
USC00084289         830S
USC00084320         825Q
USC00084366         780R
USC00084394         792S
USC00084412         822Q
USC00084461         834Q
USC00084625         825S
USC00084662         838R
USC00084707         844R
USC00084731         796S
USC00084802         825R
USC00085076         807S
USC00085099         822S
USC00085184         838R
USC00085275         792S
USC00085359         802Q
USC00085539         804S
USC00085667         833R
USC00085793         770S
USC00085879         786R
USC00085880         783Q
USC00085895         835S
USC00085973         848R
USC00086065         846S
USC00086078         853R
USC00086129         782Q
USC00086240         767R
USC00086315         834Q
USC00086406         866S
USC00086414         837S
USC00086485         841R
USC00086618         819R
USC00086657         843Q
USC00086764         820Q
USC00086767         783R
USC00086828         791Q
USC00086842         783S
USC00086880         824S
USC00087020         822R
USC00087025         812S
USC00087205         829S
USC00087228         829Q
USC00087254         846R
USC00087261         801Q
USC00087304         830Q
USC00087397         848S
USC00087429         791R
USC00087760         888S
USC00087826         796S
USC00087851         839S
USC00087982         827S
USC00088076         789Q
USC00088368         829Q
USC00088529         799R
USC00088565         803R
USC00088620         824R
USC00088756         805Q
USC00088780         840R
USC00088824         807S
USC00088841         833R
USC00088942         818S
USC00089120         801S
USC00089176         821R
USC00089219         814R
USC00089401         852S
USC00089430         823R
USC00089511         855Q
USC00089566         772S
USC00089640         801Q
USC00089707         839R
USC00090010         771Q
USC00090140         781S
USC00090181         712R
USC00090219         693R
USC00090236         708R
USC00090253         762R
USC00090311         741S
USC00090406         766R
USC00090586         795R
USC00090603         686Q
USC00090670         776Q
USC00090969         679R
USC00090979         771R
USC00091266         774S
USC00091340         782S
USC00091448         754R
USC00091463         789Q
USC00091474         719R
USC00091500         767S
USC00091640         710S
USC00091665         742R
USC00091732         720S
USC00091863         715R
USC00091908         717Q
USC00091965         705Q
USC00091973         785R
USC00091982         688S
USC00092006         690Q
USC00092153         787R
USC00092159         764R
USC00092180         713S
USC00092266         758S
USC00092283         685S
USC00092318         728R
USC00092361         766Q
USC00092408         702Q
USC00092450         755S
USC00092475         696R
USC00092485         719C
USC00092493         716R
USC00092517         717R
USC00092738         792Q
USC00092783         778S
USC00092839         767S
USC00092966         756S
USC00093060         703C
USC00093271         727R
USC00093325         798R
USC00093386         767R
USC00093465         818S
USC00093506         751R
USC00093538         789S
USC00093578         759Q
USC00093621         697S
USC00093658         759Q
USC00093754         777R
USC00093915         754R
USC00094133         703S
USC00094138         725Q
USC00094170         762R
USC00094204         781R
USC00094230         692R
USC00094429         782S
USC00094594         764R
USC00094648         682S
USC00094674         794R
USC00094676         775R
USC00094700         716R
USC00094862         765Q
USC00094941         704R
USC00094949         747R
USC00095061         766Q
USC00095165         732Q
USC00095314         760S
USC00095394         784R
USC00095401         777Q
USC00095404         704Q
USC00095550         769R
USC00095666         742R
USC00095811         771R
USC00095863         759S
USC00095874         761S
USC00095882         768R
USC00095988         752S
USC00096087         776S
USC00096093         623Q
USC00096148         759R
USC00096219         786R
USC00096244         796R
USC00096335         738S
USC00096838         779Q
USC00097087         748S
USC00097171         767R
USC00097276         786S
USC00097528         761Q
USC00097600         725S
USC00097777         754S
USC00097808         761S
USC00097827         643R
USC00098064         744S
USC00098436         723Q
USC00098476         769R
USC00098496         778R
USC00098535         735S
USC00098661         749S
USC00098666         792Q
USC00098703         769R
USC00098740         707S
USC00098950         725S
USC00098974         783Q
USC00099027         767Q
USC00099124         760R
USC00099141         740S
USC00099157         729S
USC00099186         788S
USC00099194         761S
USC00099291         728S
USC00099466         731R
USC00099486         710R
USC00099502         779R
USC00100010         592S
USC00100227         587R
USC00100282         617Q
USC00100347         587R
USC00100375         575R
USC00100448         623S
USC00100470         544R
USC00100528         574Q
USC00100667         564S
USC00100803         561R
USC00100915         580R
USC00101017         608S
USC00101018         661Q
USC00101079         585S
USC00101180         651S
USC00101195         684S
USC00101220         611S
USC00101363         561S
USC00101380         664R
USC00101408         623S
USC00101514         545S
USC00101551         625S
USC00101663         595R
USC00101671         547S
USC00101831         509Q
USC00101956         577R
USC00102159         561S
USC00102187         621Q
USC00102246         556R
USC00102260         553R
USC00102390         541R
USC00102444         649R
USC00102575         513R
USC00102577         517Q
USC00102676         530S
USC00102707         545S
USC00102845         630C
USC00102875         571S
USC00102892         562R
USC00102942         637S
USC00103108         562R
USC00103110         551R
USC00103143         602S
USC00103297         588S
USC00103448         623S
USC00103554         561R
USC00103558         559Q
USC00103631         680R
USC00103732         587S
USC00103760         659S
USC00103771         578S
USC00103882         545R
USC00103932         654S
USC00103940         568Q
USC00103964         590R
USC00104140         614S
USC00104150         552R
USC00104268         555R
USC00104295         618Q
USC00104318         660Q
USC00104384         590R
USC00104442         597S
USC00104455         591S
USC00104456         544S
USC00104598         535R
USC00104670         634S
USC00104793         636Q
USC00104831         578S
USC00104845         548S
USC00105013         599R
USC00105015         625Q
USC00105038         651R
USC00105143         587Q
USC00105177         544R
USC00105275         549S
USC00105414         577R
USC00105462         547R
USC00105563         606R
USC00105567         626R
USC00105678         607R
USC00105685         581R
USC00105708         542S
USC00105716         585R
USC00105897         587S
USC00105980         613S
USC00106152         595S
USC00106174         649R
USC00106230         564R
USC00106250         618R
USC00106305         650S
USC00106388         569R
USC00106424         570S
USC00106542         618S
USC00106586         627R
USC00106764         557R
USC00106844         644S
USC00106877         596S
USC00106891         643S
USC00107040         568S
USC00107046         567R
USC00107188         568R
USC00107208         605R
USC00107210         610Q
USC00107264         576S
USC00107301         578S
USC00107320         551S
USC00107346         591R
USC00107386         560C
USC00107563         558R
USC00107644         557R
USC00107648         617S
USC00107673         578S
USC00107689         574Q
USC00107706         662S
USC00107808         591Q
USC00107968         607R
USC00108022         556S
USC00108062         589S
USC00108080         566C
USC00108137         574S
USC00108380         617R
USC00108395         598S
USC00108412         557R
USC00108535         558S
USC00108676         523S
USC00108928         663S
USC00108937         560S
USC00109000         580R
USC00109065         523R
USC00109293         641S
USC00109303         603S
USC00109498         556R
USC00109560         541R
USC00109638         642R
USC00109698         621Q
USC00109846         548S
USC00109950         565Q
USC00109951         556R
USC00109963         622R
USC00110055         660R
USC00110072         594S
USC00110137         660R
USC00110140         597Q
USC00110187         685S
USC00110203         573R
USC00110306         622R
USC00110338         591S
USC00110356         610Q
USC00110442         568R
USC00110598         634R
USC00110608         665R
USC00110764         624R
USC00110993         668S
USC00111020         649R
USC00111160         659S
USC00111265         675S
USC00111280         636R
USC00111290         644R
USC00111302         659R
USC00111420         600R
USC00111436         640S
USC00111475         622S
USC00111497         584S
USC00111550         588Q
USC00111835         584R
USC00111836         622R
USC00112140         629S
USC00112193         643S
USC00112223         580S
USC00112348         584S
USC00112353         691R
USC00112483         668S
USC00112500         599R
USC00112736         588R
USC00112745         582R
USC00112931         656S
USC00112993         610R
USC00113106         656R
USC00113109         659S
USC00113262         583S
USC00113290         593S
USC00113320         596S
USC00113335         600S
USC00113369         607R
USC00113384         602S
USC00113413         603R
USC00113455         609R
USC00113530         621R
USC00113580         671R
USC00113612         666Q
USC00113717         622R
USC00113879         675R
USC00113940         638R
USC00114013         618S
USC00114078         654Q
USC00114108         661S
USC00114198         621S
USC00114317         658Q
USC00114400         653R
USC00114442         635C
USC00114447         641Q
USC00114489         641S
USC00114530         600S
USC00114603         606S
USC00114629         673S
USC00114710         592R
USC00114780         603Q
USC00114805         630S
USC00114823         618S
USC00114837         575R
USC00114957         655R
USC00114991         660Q
USC00115079         623S
USC00115097         591Q
USC00115113         629Q
USC00115326         584R
USC00115342         643R
USC00115372         596R
USC00115413         623R
USC00115430         631R
USC00115493         571R
USC00115515         665R
USC00115712         616S
USC00115768         621S
USC00115772         603R
USC00115825         603R
USC00115833         605S
USC00115841         630S
USC00115888         651S
USC00115901         597S
USC00115943         643C
USC00115950         637R
USC00115961         571R
USC00116011         647S
USC00116025         642Q
USC00116080         609R
USC00116157         649R
USC00116159         619R
USC00116200         615S
USC00116383         685R
USC00116446         649S
USC00116526         606S
USC00116558         648S
USC00116579         636S
USC00116610         622S
USC00116616         592S
USC00116661         571S
USC00116663         602R
USC00116738         639R
USC00116753         603S
USC00116819         619S
USC00116837         633R
USC00116897         603R
USC00116910         605S
USC00116970         625Q
USC00116998         599R
USC00117004         617S
USC00117077         631R
USC00117126         635R
USC00117187         666Q
USC00117345         645Q
USC00117354         578S
USC00117391         606R
USC00117457         596R
USC00117487         673S
USC00117551         621S
USC00117590         607Q
USC00117636         650C
USC00117876         635R
USC00117952         618Q
USC00118020         670S
USC00118147         661S
USC00118186         631Q
USC00118293         577S
USC00118324         610R
USC00118389         622R
USC00118684         619S
USC00118740         617S
USC00118781         640S
USC00118860         642S
USC00118916         591S
USC00119002         655R
USC00119021         606S
USC00119029         571R
USC00119221         590S
USC00119241         629S
USC00119331         637R
USC00119354         631S
USC00120177         613S
USC00120200         578S
USC00120331         609R
USC00120676         605S
USC00120784         636S
USC00120830         597S
USC00120852         673R
USC00120858         600R
USC00121030         646S
USC00121229         603R
USC00121303         616R
USC00121417         604Q
USC00121425         674R
USC00121739         592S
USC00121747         637S
USC00121869         665R
USC00121873         600R
USC00122096         602Q
USC00122149         620S
USC00122309         655S
USC00122638         614S
USC00122660         671R
USC00122731         708R
USC00122825         610C
USC00123078         600Q
USC00123082         609S
USC00123091         626Q
USC00123104         635S
USC00123206         593Q
USC00123207         594R
USC00123418         593S
USC00123513         619S
USC00123527         614S
USC00123547         631C
USC00123777         600R
USC00124008         595R
USC00124181         613S
USC00124244         581R
USC00124272         611S
USC00124356         614R
USC00124527         622R
USC00124550         608R
USC00124657         602Q
USC00124662         605S
USC00124711         660Q
USC00124715         608S
USC00124730         585R
USC00124782         595R
USC00124837         586S
USC00124977         633Q
USC00125117         603R
USC00125174         599C
USC00125237         671S
USC00125337         608S
USC00125407         626S
USC00125658         616R
USC00126001         662S
